10-MAY-06
"Adverse Events Category","AE/Supra-ordinate Term","Select AE","MedDRA LLT (v90)/ CTEP Term","MedDRA Code(v90)/ CTEP Code"
"CARDIAC GENERAL","Right ventricular dysfunction (cor pulmonale)",,"Cor pulmonale","10010968"
"CARDIAC GENERAL","Valvular heart disease",,"Cardiac valve disease","10061406"
"COAGULATION","Coagulation - Other (Specify, __)",,"Coagulopathy","10009802"
"COAGULATION","DIC (disseminated intravascular coagulation)",,"Disseminated intravascular coagulation","10013442"
"COAGULATION","Fibrinogen",,"Fibrinogen decreased","10016596"
"COAGULATION","INR (International Normalized Ratio of prothrombin time)",,"INR increased","10022402"
"COAGULATION","PTT (Partial Thromboplastin Time)",,"Activated partial thromboplastin time prolonged","10000636"
"COAGULATION","Thrombotic microangiopathy (e.g., thrombotic thrombocytopenic purpura [TTP] or hemolytic uremic syndrome [HUS])",,"Thrombotic microangiopathy","10043645"
"CONSTITUTIONAL SYMPTOMS","Constitutional Symptoms - Other (Specify, __)",,"General symptom","10060891"
"CONSTITUTIONAL SYMPTOMS","Fatigue (asthenia, lethargy, malaise)",,"Fatigue","10016256"
"CONSTITUTIONAL SYMPTOMS","Fever (in the absence of neutropenia, where neutropenia is defined as ANC <1.0 x 10e9/L)",,"Fever","10016558"
"CONSTITUTIONAL SYMPTOMS","Hypothermia",,"Hypothermia","10021113"
"CONSTITUTIONAL SYMPTOMS","Insomnia",,"Insomnia","10022437"
"CONSTITUTIONAL SYMPTOMS","Obesity",,"Obesity","10029883"
"CONSTITUTIONAL SYMPTOMS","Odor (patient odor)",,"Body odor","10005901"
"CONSTITUTIONAL SYMPTOMS","Rigors/chills",,"Chills","10008531"
"CONSTITUTIONAL SYMPTOMS","Sweating (diaphoresis)",,"Sweating","10042661"
"CONSTITUTIONAL SYMPTOMS","Weight gain",,"Weight gain","10047896"
"CONSTITUTIONAL SYMPTOMS","Weight loss",,"Weight loss","10047900"
"DEATH","Death not associated with CTCAE term","Death NOS","Death","10011906"
"DEATH","Death not associated with CTCAE term","Disease progression NOS","Disease progression","10061818"
"DEATH","Death not associated with CTCAE term","Multi-organ failure","Multi-organ failure","10028154"
"DEATH","Death not associated with CTCAE term","Sudden death","Sudden death","10042434"
"DERMATOLOGY/SKIN","Atrophy, skin",,"Atrophy skin","10003719"
"DERMATOLOGY/SKIN","Atrophy, subcutaneous fat",,"Fat atrophy","10016241"
"DERMATOLOGY/SKIN","Bruising (in absence of Grade 3 or 4 thrombocytopenia)",,"Bruising","10006504"
"DERMATOLOGY/SKIN","Burn",,"Thermal burn","10053615"
"DERMATOLOGY/SKIN","Cheilitis",,"Cheilitis","10008417"
"DERMATOLOGY/SKIN","Dermatology/Skin - Other (Specify, __)",,"Skin disorder","10040831"
"DERMATOLOGY/SKIN","Dry skin",,"Dry skin","10013786"
"DERMATOLOGY/SKIN","Flushing",,"Flushing","10016825"
"DERMATOLOGY/SKIN","Hair loss/alopecia (scalp or body)",,"Alopecia","10001760"
"DERMATOLOGY/SKIN","Hyperpigmentation",,"Skin hyperpigmentation","10040865"
"DERMATOLOGY/SKIN","Hypopigmentation",,"Skin hypopigmentation","10040868"
"DERMATOLOGY/SKIN","Induration/fibrosis (skin and subcutaneous tissue)",,"Skin induration","10051837"
"DERMATOLOGY/SKIN","Injection site reaction/extravasation changes",,"Injection site reaction","10022095"
"DERMATOLOGY/SKIN","Nail changes",,"Nail disorder","10028694"
"DERMATOLOGY/SKIN","Photosensitivity",,"Photosensitivity","10034966"
"DERMATOLOGY/SKIN","Pruritus/itching",,"Pruritus","10037087"
"DERMATOLOGY/SKIN","Rash/desquamation",,"Rash desquamating","10037853"
"DERMATOLOGY/SKIN","Rash: acne/acneiform",,"Acne","10000496"
"DERMATOLOGY/SKIN","Rash: dermatitis associated with radiation","Chemoradiation","Radiation recall reaction (dermatologic)","10037767"
"DERMATOLOGY/SKIN","Rash: dermatitis associated with radiation","Radiation","Dermatitis radiation","10061103"
"DERMATOLOGY/SKIN","Rash: erythema multiforme (e.g., Stevens-Johnson syndrome, toxic epidermal necrolysis)",,"Erythema multiforme","10015218"
"DERMATOLOGY/SKIN","Rash: hand-foot skin reaction",,"Hand-and-foot syndrome","10019126"
"DERMATOLOGY/SKIN","Skin breakdown/decubitus ulcer",,"Decubitus ulcer","10011985"
"DERMATOLOGY/SKIN","Striae",,"Skin striae","10040925"
"DERMATOLOGY/SKIN","Telangiectasia",,"Telangiectasia","10043189"
"DERMATOLOGY/SKIN","Ulceration",,"Skin ulceration","10040947"
"DERMATOLOGY/SKIN","Urticaria (hives, welts, wheals)",,"Urticaria","10046735"
"DERMATOLOGY/SKIN","Wound complication, non-infectious",,"Wound dehiscence","10048031"
"ENDOCRINE","Adrenal insufficiency",,"Adrenal insufficiency","10001367"
"ENDOCRINE","Cushingoid appearance (e.g., moon face, buffalo hump, centripetal obesity, cutaneous striae)",,"Cushingoid","10011655"
"ENDOCRINE","Endocrine - Other (Specify, __)",,"Endocrine disorder","10014695"
"ENDOCRINE","Feminization of male",,"Feminization","10016424"
"ENDOCRINE","Hot flashes/flushes",,"Hot flashes","10020407"
"ENDOCRINE","Masculinization of female",,"Masculinization","10026859"
"ENDOCRINE","Neuroendocrine: gonadotropin secretion abnormality",,"Blood gonadotrophin abnormal","10005561"
"ENDOCRINE","Neuroendocrine: growth hormone secretion abnormality",,"Growth hormone abnormal","10018748"
"ENDOCRINE","Neuroendocrine: prolactin hormone secretion abnormality",,"Blood prolactin abnormal","10005778"
"ENDOCRINE","Neuroendocrine:ACTH deficiency",,"ACTH decreased","10000610"
"ENDOCRINE","Neuroendocrine:ADH secretion abnormality (e.g., SIADH or low ADH)",,"ADH abnormal","10001266"
"ENDOCRINE","Pancreatic endocrine: glucose intolerance",,"Glucose intolerance","10052426"
"ENDOCRINE","Parathyroid function, low (hypoparathyroidism)",,"Hypoparathyroidism","10021041"
"ENDOCRINE","Thyroid function, high (hyperthyroidism, thyrotoxicosis)",,"Hyperthyroidism","10020850"
"ENDOCRINE","Thyroid function, low (hypothyroidism)",,"Hypothyroidism","10021114"
"GASTROINTESTINAL","Anorexia",,"Anorexia","10002646"
"GASTROINTESTINAL","Ascites (non-malignant)",,"Ascites","10003445"
"GASTROINTESTINAL","Colitis",,"Colitis","10009887"
"GASTROINTESTINAL","Constipation",,"Constipation","10010774"
"GASTROINTESTINAL","Dehydration",,"Dehydration","10012174"
"GASTROINTESTINAL","Dental: dentures or prosthesis",,"Dental prosthesis user","10050857"
"GASTROINTESTINAL","Dental: periodontal disease",,"Periodontal disease","10034536"
"GASTROINTESTINAL","Dental: teeth",,"Tooth disorder","10044034"
"GASTROINTESTINAL","Dental:teeth development",,"Tooth development disorder","10044030"
"GASTROINTESTINAL","Diarrhea",,"Diarrhea","10012727"
"GASTROINTESTINAL","Distension/bloating, abdominal",,"Abdominal distension","10000060"
"GASTROINTESTINAL","Dry mouth/salivary gland (xerostomia)",,"Dry mouth","10013781"
"GASTROINTESTINAL","Dysphagia (difficulty swallowing)",,"Dysphagia","10013950"
"GASTROINTESTINAL","Enteritis (inflammation of the small bowel)",,"Enteritis","10014866"
"GASTROINTESTINAL","Esophagitis",,"Esophagitis","10015461"
"GASTROINTESTINAL","Fistula, GI","Abdomen NOS","Gastro-intestinal fistula","10017877"
"GASTROINTESTINAL","Fistula, GI","Anus","Anal fistula","10002156"
"GASTROINTESTINAL","Fistula, GI","Biliary tree","Biliary fistula","10004665"
"GASTROINTESTINAL","Fistula, GI","Colon/cecum/appendix","Colonic fistula","10009995"
"GASTROINTESTINAL","Fistula, GI","Duodenum","Duodenal fistula","10013828"
"GASTROINTESTINAL","Fistula, GI","Esophagus","Acquired tracheo-oesophageal fistula","10000582"
"GASTROINTESTINAL","Fistula, GI","Gallbladder","Gallbladder fistula","10017631"
"GASTROINTESTINAL","Fistula, GI","Ileum","Ileal fistula","10065728"
"GASTROINTESTINAL","Fistula, GI","Jejunum","Jejunal fistula","10065719"
"GASTROINTESTINAL","Fistula, GI","Oral cavity","Oral cavity fistula","10065720"
"GASTROINTESTINAL","Fistula, GI","Pancreas","Pancreatic fistula","10049192"
"GASTROINTESTINAL","Fistula, GI","Pharynx","Fistula, Pharynx","90030018"
"GASTROINTESTINAL","Fistula, GI","Rectum","Rectal fistula","10038062"
"GASTROINTESTINAL","Fistula, GI","Salivary gland","Salivary gland fistula","10039411"
"GASTROINTESTINAL","Fistula, GI","Small bowel NOS","Fistula of small intestine","10065850"
"GASTROINTESTINAL","Fistula, GI","Stomach","Gastic fistula","10065713"
"GASTROINTESTINAL","Flatulence",,"Flatulence","10016766"
"GASTROINTESTINAL","Gastritis (including bile reflux gastritis)",,"Gastritis","10017853"
"GASTROINTESTINAL","Gastrointestinal - Other (Specify, __)",,"Gastrointestinal disorder","10017944"
"GASTROINTESTINAL","Heartburn/dyspepsia",,"Dyspepsia","10013946"
"GASTROINTESTINAL","Hemorrhoids",,"Hemorrhoids","10019611"
"GASTROINTESTINAL","Ileus, GI (functional obstruction of bowel, i.e., neuroconstipation)",,"Ileus","10021328"
"GASTROINTESTINAL","Incontinence, anal",,"Fecal incontinence","10016296"
"GASTROINTESTINAL","Leak (including anastomotic), GI","Biliary tree","Biliary anastomotic leak","10050458"
"GASTROINTESTINAL","Leak (including anastomotic), GI","Esophagus","Esophageal anastomotic leak","10065961"
"GASTROINTESTINAL","Leak (including anastomotic), GI","Large bowel","Large intestinal anastomotic leak","10065891"
"GASTROINTESTINAL","Leak (including anastomotic), GI","Leak NOS","Anastomotic leak","10050456"
"GASTROINTESTINAL","Leak (including anastomotic), GI","Pancreas","Pancreatic anastomotic leak","10050457"
"GASTROINTESTINAL","Leak (including anastomotic), GI","Pharynx","Pharyngeal anastomotic leak","10065705"
"GASTROINTESTINAL","Leak (including anastomotic), GI","Rectum","Rectal anastomotic leak","10065894"
"GASTROINTESTINAL","Leak (including anastomotic), GI","Small bowel","Small intestinal anastomotic leak","10065892"
"GASTROINTESTINAL","Leak (including anastomotic), GI","Stoma","Intestinal stoma leak","10059095"
"GASTROINTESTINAL","Leak (including anastomotic), GI","Stomach","Gastric anastomotic leak","10065893"
"GASTROINTESTINAL","Malabsorption",,"Malabsorption","10025476"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Anus","Anal exam abnormal","10065734"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Esophagus","Oesophagoscopy abnormal","10030223"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Large bowel","Endoscopy large bowel abnormal","10014810"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Larynx","Laryngoscopy abnormal","10023889"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Oral cavity","Ear, nose and throat examination abnormal","10056848"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Pharynx","Pharyngeal examination abnormal","10065717"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Rectum","Proctoscopy abnormal","10036787"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Small bowel","Endoscopy small intestine abnormal","10014817"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Stomach","Gastroscopy abnormal","10065714"
"GASTROINTESTINAL","Mucositis/stomatitis (clinical exam)","Trachea","Tracheoscopy abnormal","10065708"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Anus","Anal mucositis","10065721"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Esophagus","Esophageal mucositis","10065726"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Large bowel","Large intestinal mucositis","10065733"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Larynx","Laryngeal mucositis","10065880"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Oral cavity","Mucositis oral","10028130"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Pharynx","Pharyngeal mucositis","10065881"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Rectum","Rectal mucositis","10063190"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Small bowel","Small intestinal mucositis","10065710"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Stomach","Gastric mucositis","10065715"
"GASTROINTESTINAL","Mucositis/stomatitis (functional/symptomatic)","Trachea","Tracheal mucositis","10065900"
"GASTROINTESTINAL","Nausea",,"Nausea","10028813"
"GASTROINTESTINAL","Necrosis, GI","Anus","Anal necrosis","10065722"
"GASTROINTESTINAL","Necrosis, GI","Colon/cecum/appendix","Intestinal necrosis","10022686"
"GASTROINTESTINAL","Necrosis, GI","Duodenum","Duodenal necrosis","10065725"
"GASTROINTESTINAL","Necrosis, GI","Esophagus","Esophageal necrosis","10065727"
"GASTROINTESTINAL","Necrosis, GI","Gallbladder","Gallbladder necrosis","10059446"
"GASTROINTESTINAL","Necrosis, GI","Hepatic","Hepatic necrosis","10019692"
"GASTROINTESTINAL","Necrosis, GI","Ileum","Ileal necrosis","10065729"
"GASTROINTESTINAL","Necrosis, GI","Jejunum","Jejunal necrosis","10065731"
"GASTROINTESTINAL","Necrosis, GI","Oral","Mouth necrosis","10028028"
"GASTROINTESTINAL","Necrosis, GI","Pancreas","Pancreatic necrosis","10058096"
"GASTROINTESTINAL","Necrosis, GI","Peritoneal cavity","Peritoneal necrosis","10065704"
"GASTROINTESTINAL","Necrosis, GI","Pharynx","Pharyngeal necrosis","10065706"
"GASTROINTESTINAL","Necrosis, GI","Rectum","Rectal necrosis","10065709"
"GASTROINTESTINAL","Necrosis, GI","Small bowel NOS","Small intestinal necrosis","10065711"
"GASTROINTESTINAL","Necrosis, GI","Stoma","Gastrointestinal stoma necrosis","10065712"
"GASTROINTESTINAL","Necrosis, GI","Stomach","Gastric necrosis","10051886"
"GASTROINTESTINAL","Obstruction, GI","Cecum","Cecal obstruction","10065723"
"GASTROINTESTINAL","Obstruction, GI","Colon","Colonic obstruction","10010000"
"GASTROINTESTINAL","Obstruction, GI","Duodenum","Duodenal obstruction","10013830"
"GASTROINTESTINAL","Obstruction, GI","Esophagus","Esophageal obstruction","10015387"
"GASTROINTESTINAL","Obstruction, GI","Gallbladder","Gallbladder obstruction","10017636"
"GASTROINTESTINAL","Obstruction, GI","Ileum","Ileal obstruction","10065730"
"GASTROINTESTINAL","Obstruction, GI","Jejunum","Jejunal obstruction","10065732"
"GASTROINTESTINAL","Obstruction, GI","Rectum","Rectal obstruction","10065707"
"GASTROINTESTINAL","Obstruction, GI","Small bowel NOS","Small intestinal obstruction","10041101"
"GASTROINTESTINAL","Obstruction, GI","Stoma","Intestinal stoma obstruction","10059094"
"GASTROINTESTINAL","Obstruction, GI","Stomach","Obstruction gastric","10029957"
"GASTROINTESTINAL","Perforation, GI","Appendix","Appendicitis perforated","10003012"
"GASTROINTESTINAL","Perforation, GI","Biliary tree","Perforation bile duct","10034405"
"GASTROINTESTINAL","Perforation, GI","Cecum","Cecum perforation","10055432"
"GASTROINTESTINAL","Perforation, GI","Colon","Colonic perforation","10010001"
"GASTROINTESTINAL","Perforation, GI","Duodenum","Duodenal perforation","10013832"
"GASTROINTESTINAL","Perforation, GI","Esophagus","Esophageal perforation","10055472"
"GASTROINTESTINAL","Perforation, GI","Gallbladder","Gallbladder perforation","10017639"
"GASTROINTESTINAL","Perforation, GI","Ileum","Ileal perforation","10021305"
"GASTROINTESTINAL","Perforation, GI","Jejunum","Jejunal perforation","10023174"
"GASTROINTESTINAL","Perforation, GI","Rectum","Rectal perforation","10038073"
"GASTROINTESTINAL","Perforation, GI","Small bowel NOS","Small intestinal perforation","10041103"
"GASTROINTESTINAL","Perforation, GI","Stomach","Gastric perforation","10017815"
"GASTROINTESTINAL","Proctitis",,"Proctitis","10036774"
"GASTROINTESTINAL","Prolapse of stoma, GI",,"Prolapse of intestinal stoma","10065745"
"GASTROINTESTINAL","Salivary gland changes/saliva",,"Salivary gland disorder","10061935"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Anus","Anal stenosis","10002176"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Biliary tree","Bile duct stenosis","10051341"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Cecum","Intestinal stenosis","10022699"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Colon","Colonic stenosis","10010004"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Duodenum","Duodenal stenosis","10050094"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Esophagus","Esophageal stenosis","10015448"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Ileum","Ileal stenosis","10021307"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Jejunum","Jejunal stenosis","10023176"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Pancreas/pancreatic duct","Pancreatic duct stenosis","10065703"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Pharynx","Stricture/stenosis (including anastomotic), Pharynx","90030990"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Rectum","Rectal stenosis","10038079"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Small bowel NOS","Small intestinal stenosis","10062263"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Stoma","Stenosis of gastrointestinal stoma","10065898"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Stomach","Gastric stenosis","10061970"
"GASTROINTESTINAL","Taste alteration (dysgeusia)",,"Taste alteration","10043125"
"GASTROINTESTINAL","Typhlitis (cecal inflammation)",,"Typhlitis","10045271"
"GASTROINTESTINAL","Ulcer, GI","Anus","Anal ulcer","10002180"
"GASTROINTESTINAL","Ulcer, GI","Cecum","Cecal ulcer","10065724"
"GASTROINTESTINAL","Ulcer, GI","Colon","Colonic ulcer","10010006"
"GASTROINTESTINAL","Ulcer, GI","Duodenum","Duodenal ulcer","10013836"
"GASTROINTESTINAL","Ulcer, GI","Esophagus","Esophageal ulcer","10015451"
"GASTROINTESTINAL","Ulcer, GI","Ileum","Ileal ulcer","10021309"
"GASTROINTESTINAL","Ulcer, GI","Jejunum","Jejunal ulcer","10023177"
"GASTROINTESTINAL","Ulcer, GI","Rectum","Rectal ulcer","10038080"
"GASTROINTESTINAL","Ulcer, GI","Small bowel NOS","Small intestine ulcer","10041133"
"GASTROINTESTINAL","Ulcer, GI","Stoma","Stomal ulcer","10042127"
"GASTROINTESTINAL","Ulcer, GI","Stomach","Gastric ulcer","10017822"
"GASTROINTESTINAL","Vomiting",,"Vomiting","10047700"
"GROWTH AND DEVELOPMENT","Bone age (alteration in bone age)",,"Bone development abnormal","10005954"
"GROWTH AND DEVELOPMENT","Bone growth: femoral head; slipped capital femoral epiphysis",,"Slipped femoral epiphysis","10041028"
"GROWTH AND DEVELOPMENT","Bone growth:limb length discrepancy",,"Unequal limb length","10065738"
"GROWTH AND DEVELOPMENT","Bone growth:spine kyphosis/lordosis",,"Kyphosis","10023509"
"GROWTH AND DEVELOPMENT","Growth and Development - Other (Specify, __)",,"Developmental disturbance","10012563"
"GROWTH AND DEVELOPMENT","Growth velocity (reduction in growth velocity)",,"Developmental delay","10012559"
"GROWTH AND DEVELOPMENT","Puberty (delayed)",,"Delayed puberty","10012205"
"GROWTH AND DEVELOPMENT","Puberty (precocious)",,"Precocious puberty","10058084"
"GROWTH AND DEVELOPMENT","Short stature",,"Short stature","10040600"
"HEMORRHAGE/BLEEDING","Hematoma",,"Hematoma","10019428"
"HEMORRHAGE/BLEEDING","Hemorrhage, CNS",,"Intracranial hemorrhage","10022763"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Abdomen NOS","Intra-abdominal hemorrhage","10055291"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Anus","Anal hemorrhage","10055226"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Biliary tree","Hemorrhage in bile duct","10062778"
"HEMORRHAGE/BLEEDING","Hemorrhage, GI","Cecum/appendix","Cecal hemorrhage","10065747"
