"Adverse Events Category","AE/Supra-ordinate Term","Select AE","Grade","Description"
"ALLERGY/IMMUNOLOGY","Vasculitis",,5,"Death"
"AUDITORY/EAR","Auditory/Ear - Other (Specify, __)",,1,"Mild"
"AUDITORY/EAR","Auditory/Ear - Other (Specify, __)",,2,"Moderate"
"AUDITORY/EAR","Auditory/Ear - Other (Specify, __)",,3,"Severe"
"AUDITORY/EAR","Auditory/Ear - Other (Specify, __)",,4,"Life-threatening; disabling"
"AUDITORY/EAR","Auditory/Ear - Other (Specify, __)",,5,"Death"
"AUDITORY/EAR","Hearing: patients with/without baseline audiogram and enrolled in a monitoring program",,1,"Threshold shift or loss of 15 - 25 dB relative to baseline, averaged at 2 or more contiguous test frequencies in at least one ear; or subjective change in the absence of a Grade 1 threshold shift"
"AUDITORY/EAR","Hearing: patients with/without baseline audiogram and enrolled in a monitoring program",,2,"Threshold shift or loss of >25 - 90 dB, averaged at 2 contiguous test frequencies in at least one ear"
"AUDITORY/EAR","Hearing: patients with/without baseline audiogram and enrolled in a monitoring program",,3,"Adult only: Threshold shift of >25 - 90 dB, averaged at 3 contiguous test frequencies in at least one ear 

Pediatric: Hearing loss sufficient to indicate therapeutic intervention, including hearing aids (e.g., >=20 dB bilateral HL in the speech frequencies; >=30 dB unilateral HL; and requiring additional speech-language related services)"
"AUDITORY/EAR","Hearing: patients with/without baseline audiogram and enrolled in a monitoring program",,4,"Adult only: Profound bilateral hearing loss (>90 dB)

Pediatric: Audiologic indication for cochlear implant and requiring additional speech-language related services"
"AUDITORY/EAR","Hearing: patients without baseline audiogram and not enrolled in a monitoring program",,2,"Hearing loss not requiring hearing aid or intervention (i.e., not interfering with ADL)"
"AUDITORY/EAR","Hearing: patients without baseline audiogram and not enrolled in a monitoring program",,3,"Hearing loss requiring hearing aid or intervention (i.e., interfering with ADL)"
"AUDITORY/EAR","Hearing: patients without baseline audiogram and not enrolled in a monitoring program",,4,"Profound bilateral hearing loss (>90 dB)"
"AUDITORY/EAR","Otitis, external ear (non-infectious)",,1,"External otitis with erythema or dry desquamation"
"AUDITORY/EAR","Otitis, external ear (non-infectious)",,2,"External otitis with moist desquamation, edema, enhanced cerumen or discharge; tympanic membrane perforation; tympanostomy"
"AUDITORY/EAR","Otitis, external ear (non-infectious)",,3,"External otitis with mastoiditis; stenosis or osteomyelitis"
"AUDITORY/EAR","Otitis, external ear (non-infectious)",,4,"Necrosis of soft tissue or bone"
"AUDITORY/EAR","Otitis, external ear (non-infectious)",,5,"Death"
"AUDITORY/EAR","Otitis, middle ear (non-infectious)",,1,"Serous otitis"
"AUDITORY/EAR","Otitis, middle ear (non-infectious)",,2,"Serous otitis, medical intervention indicated"
"AUDITORY/EAR","Otitis, middle ear (non-infectious)",,3,"Otitis with discharge; mastoiditis"
"AUDITORY/EAR","Otitis, middle ear (non-infectious)",,4,"Necrosis of the canal soft tissue or bone"
"AUDITORY/EAR","Otitis, middle ear (non-infectious)",,5,"Death"
"AUDITORY/EAR","Tinnitus",,2,"Tinnitus not interfering with ADL"
"AUDITORY/EAR","Tinnitus",,3,"Tinnitus interfering with ADL"
"AUDITORY/EAR","Tinnitus",,4,"Disabling"
"BLOOD/BONE MARROW","Blood/Bone Marrow - Other (Specify, __)",,1,"Mild"
"BLOOD/BONE MARROW","Blood/Bone Marrow - Other (Specify, __)",,2,"Moderate"
"BLOOD/BONE MARROW","Blood/Bone Marrow - Other (Specify, __)",,3,"Severe"
"BLOOD/BONE MARROW","Blood/Bone Marrow - Other (Specify, __)",,4,"Life-threatening; disabling"
"BLOOD/BONE MARROW","Blood/Bone Marrow - Other (Specify, __)",,5,"Death"
"BLOOD/BONE MARROW","Bone marrow cellularity",,1,"Mildly hypocellular or <=25% reduction from normal cellularity for age"
"BLOOD/BONE MARROW","Bone marrow cellularity",,2,"Moderately hypocellular or >25 - <=50% reduction from normal cellularity for age"
"BLOOD/BONE MARROW","Bone marrow cellularity",,3,"Severely hypocellular or >50 - <=75% reduction cellularity from normal for age"
"BLOOD/BONE MARROW","Bone marrow cellularity",,5,"Death"
"BLOOD/BONE MARROW","CD4 count",,1,"<LLN - 500/mm(3)
<LLN - 0.5 x 10e9 /L"
"BLOOD/BONE MARROW","CD4 count",,2,"<500 - 200/mm(3)
<0.5 - 0.2 x 10e9 /L"
"BLOOD/BONE MARROW","CD4 count",,3,"<200 - 50/mm(3)
<0.2 x 0.05 - 10e9 /L"
"BLOOD/BONE MARROW","CD4 count",,4,"<50/mm(3)
<0.05 x 10e9 /L"
"BLOOD/BONE MARROW","CD4 count",,5,"Death"
"BLOOD/BONE MARROW","Haptoglobin",,1,"<LLN"
"BLOOD/BONE MARROW","Haptoglobin",,3,"Absent"
"BLOOD/BONE MARROW","Haptoglobin",,5,"Death"
"BLOOD/BONE MARROW","Hemoglobin",,1,"<LLN - 10.0 g/dL 
<LLN - 6.2 mmol/L 
<LLN - 100 g/L"
"BLOOD/BONE MARROW","Hemoglobin",,2,"<10.0 - 8.0 g/dL
<6.2 - 4.9 mmol/L 
<100 - 80g/L"
"BLOOD/BONE MARROW","Hemoglobin",,3,"<8.0 - 6.5 g/dL
<4.9 - 4.0 mmol/L
<80 - 65 g/L"
"BLOOD/BONE MARROW","Hemoglobin",,4,"<6.5 g/dL
<4.0 mmol/L 
<65 g/L"
"BLOOD/BONE MARROW","Hemoglobin",,5,"Death"
"BLOOD/BONE MARROW","Hemolysis (e.g., immune hemolytic anemia, drug-related hemolysis)",,1,"Laboratory evidence of hemolysis only (e.g., direct antiglobulin test [DAT, Coombs'] schistocytes)"
"BLOOD/BONE MARROW","Hemolysis (e.g., immune hemolytic anemia, drug-related hemolysis)",,2,"Evidence of red cell destruction and >=2 gm decrease in hemoglobin, no transfusion"
"BLOOD/BONE MARROW","Hemolysis (e.g., immune hemolytic anemia, drug-related hemolysis)",,3,"Transfusion or medical intervention (e.g., steroids) indicated"
"BLOOD/BONE MARROW","Hemolysis (e.g., immune hemolytic anemia, drug-related hemolysis)",,4,"Catastrophic consequences of hemolysis (e.g., renal failure, hypotension, bronchospasm, emergency splenectomy)"
"BLOOD/BONE MARROW","Hemolysis (e.g., immune hemolytic anemia, drug-related hemolysis)",,5,"Death"
"BLOOD/BONE MARROW","Iron overload",,2,"Asymptomatic iron overload, intervention not indicated"
"BLOOD/BONE MARROW","Iron overload",,3,"Iron overload, intervention indicated"
"BLOOD/BONE MARROW","Iron overload",,4,"Organ impairment (e.g., endocrinopathy, cardiopathy)"
"BLOOD/BONE MARROW","Iron overload",,5,"Death"
"BLOOD/BONE MARROW","Leukocytes (total WBC)",,1,"<LLN - 3000/mm(3)
<LLN - 3.0 x 10e9 /L"
"BLOOD/BONE MARROW","Leukocytes (total WBC)",,2,"<3000 - 2000/mm(3)
<3.0 - 2.0 x 10e9 /L"
"BLOOD/BONE MARROW","Leukocytes (total WBC)",,3,"<2000 - 1000/mm(3)
<2.0 - 1.0 x 10e9 /L"
"BLOOD/BONE MARROW","Leukocytes (total WBC)",,4,"<1000/mm(3)
<1.0 x 10e9 /L"
"BLOOD/BONE MARROW","Leukocytes (total WBC)",,5,"Death"
"BLOOD/BONE MARROW","Lymphopenia",,1,"<LLN - 800/mm(3)
<LLN x 0.8 - 10e9 /L"
"BLOOD/BONE MARROW","Lymphopenia",,2,"<800 - 500/mm(3)
<0.8 - 0.5 x 10e9 /L"
"BLOOD/BONE MARROW","Lymphopenia",,3,"<500 - 200 mm(3)
<0.5 - 0.2 x 10e9 /L"
"BLOOD/BONE MARROW","Lymphopenia",,4,"<200/mm(3)
<0.2 x 10e9 /L"
"BLOOD/BONE MARROW","Lymphopenia",,5,"Death"
"BLOOD/BONE MARROW","Myelodysplasia",,3,"Abnormal marrow cytogenetics (marrow blasts <=5%)"
"BLOOD/BONE MARROW","Myelodysplasia",,4,"RAEB or RAEB-T (marrow blasts >5%)"
"BLOOD/BONE MARROW","Myelodysplasia",,5,"Death"
"BLOOD/BONE MARROW","Neutrophils/granulocytes (ANC/AGC)",,1,"<LLN - 1500/mm(3)
<LLN - 1.5 x 10e9 /L"
"BLOOD/BONE MARROW","Neutrophils/granulocytes (ANC/AGC)",,2,"<1500 - 1000/mm(3)
<1.5 - 1.0 x 10e9 /L"
"BLOOD/BONE MARROW","Neutrophils/granulocytes (ANC/AGC)",,3,"<1000 - 500/mm(3)
<1.0 - 0.5 x 10e9 /L"
"BLOOD/BONE MARROW","Neutrophils/granulocytes (ANC/AGC)",,4,"<500/mm(3)
<0.5 x 10e9 /L"
"BLOOD/BONE MARROW","Neutrophils/granulocytes (ANC/AGC)",,5,"Death"
"BLOOD/BONE MARROW","Platelets",,1,"<LLN - 75,000/mm(3)
<LLN - 75.0 x 10e9 /L"
"BLOOD/BONE MARROW","Platelets",,2,"<75,000 - 50,000/mm(3)
<75.0 - 50.0 x 10e9 /L"
"BLOOD/BONE MARROW","Platelets",,3,"<50,000 - 25,000/mm(3)
<50.0 - 25.0 x 10e9 /L"
"BLOOD/BONE MARROW","Platelets",,4,"<25,000/mm(3)
<25.0 x 10e9 /L"
"BLOOD/BONE MARROW","Platelets",,5,"Death"
"BLOOD/BONE MARROW","Splenic function",,1,"Incidental findings (e.g., Howell-Jolly bodies)"
"BLOOD/BONE MARROW","Splenic function",,2,"Prophylactic antibiotics indicated"
"BLOOD/BONE MARROW","Splenic function",,4,"Life-threatening consequences"
"BLOOD/BONE MARROW","Splenic function",,5,"Death"
"CARDIAC ARRHYTHMIA","Cardiac Arrhythmia - Other (Specify, __)",,1,"Mild"
"CARDIAC ARRHYTHMIA","Cardiac Arrhythmia - Other (Specify, __)",,2,"Moderate"
"CARDIAC ARRHYTHMIA","Cardiac Arrhythmia - Other (Specify, __)",,3,"Severe"
"CARDIAC ARRHYTHMIA","Cardiac Arrhythmia - Other (Specify, __)",,4,"Life-threatening; disabling"
"CARDIAC ARRHYTHMIA","Cardiac Arrhythmia - Other (Specify, __)",,5,"Death"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-First degree",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-First degree",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-First degree",3,"Incompletely controlled medically or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-First degree",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-First degree",5,"Death"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Second degree Mobitz Type I (Wenckebach)",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Second degree Mobitz Type I (Wenckebach)",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Second degree Mobitz Type I (Wenckebach)",3,"Incompletely controlled medically or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Second degree Mobitz Type I (Wenckebach)",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Second degree Mobitz Type I (Wenckebach)",5,"Death"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Second degree Mobitz Type II",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Second degree Mobitz Type II",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Second degree Mobitz Type II",3,"Incompletely controlled medically or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Second degree Mobitz Type II",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Second degree Mobitz Type II",5,"Death"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Third degree (Complete AV block)",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Third degree (Complete AV block)",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Third degree (Complete AV block)",3,"Incompletely controlled medically or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Third degree (Complete AV block)",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","AV Block-Third degree (Complete AV block)",5,"Death"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Asystole",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Asystole",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Asystole",3,"Incompletely controlled medically or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Asystole",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Asystole",5,"Death"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Conduction abnormality NOS",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Conduction abnormality NOS",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Conduction abnormality NOS",3,"Incompletely controlled medically or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Conduction abnormality NOS",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Conduction abnormality NOS",5,"Death"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Sick Sinus Syndrome",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Sick Sinus Syndrome",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Sick Sinus Syndrome",3,"Incompletely controlled medically or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Sick Sinus Syndrome",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Sick Sinus Syndrome",5,"Death"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Stokes-Adams Syndrome",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Stokes-Adams Syndrome",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Stokes-Adams Syndrome",3,"Incompletely controlled medically or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Stokes-Adams Syndrome",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Stokes-Adams Syndrome",5,"Death"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Wolff-Parkinson-White Syndrome",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Wolff-Parkinson-White Syndrome",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Wolff-Parkinson-White Syndrome",3,"Incompletely controlled medically or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Wolff-Parkinson-White Syndrome",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Conduction abnormality/atrioventricular heart block","Wolff-Parkinson-White Syndrome",5,"Death"
"CARDIAC ARRHYTHMIA","Palpitations",,1,"Present"
"CARDIAC ARRHYTHMIA","Palpitations",,2,"Present with associated symptoms (e.g., lightheadedness, shortness of breath)"
"CARDIAC ARRHYTHMIA","Prolonged QTc interval",,1,"QTc >0.45 - 0.47 second"
"CARDIAC ARRHYTHMIA","Prolonged QTc interval",,2,"QTc >0.47 - 0.50 second; >=0.06 second above baseline"
"CARDIAC ARRHYTHMIA","Prolonged QTc interval",,3,"QTc >0.50 second"
"CARDIAC ARRHYTHMIA","Prolonged QTc interval",,4,"QTc >0.50 second; life-threatening signs or symptoms (e.g., arrhythmia, CHF, hypotension, shock syncope); Torsade de pointes"
"CARDIAC ARRHYTHMIA","Prolonged QTc interval",,5,"Death"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial fibrillation",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial fibrillation",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial fibrillation",3,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial fibrillation",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial fibrillation",5,"Death"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial flutter",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial flutter",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial flutter",3,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial flutter",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial flutter",5,"Death"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial tachycardia/Paroxysmal Atrial Tachycardia",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial tachycardia/Paroxysmal Atrial Tachycardia",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial tachycardia/Paroxysmal Atrial Tachycardia",3,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial tachycardia/Paroxysmal Atrial Tachycardia",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Atrial tachycardia/Paroxysmal Atrial Tachycardia",5,"Death"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Nodal/Junctional",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Nodal/Junctional",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Nodal/Junctional",3,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Nodal/Junctional",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Nodal/Junctional",5,"Death"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus arrhythmia",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus arrhythmia",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus arrhythmia",3,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus arrhythmia",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus arrhythmia",5,"Death"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus bradycardia",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus bradycardia",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus bradycardia",3,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus bradycardia",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus bradycardia",5,"Death"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus tachycardia",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus tachycardia",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus tachycardia",3,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus tachycardia",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Sinus tachycardia",5,"Death"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular arrhythmia NOS",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular arrhythmia NOS",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular arrhythmia NOS",3,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular arrhythmia NOS",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular arrhythmia NOS",5,"Death"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular extrasystoles (Premature Atrial Contractions; Premature Nodal/Junctional Contractions)",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular extrasystoles (Premature Atrial Contractions; Premature Nodal/Junctional Contractions)",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular extrasystoles (Premature Atrial Contractions; Premature Nodal/Junctional Contractions)",3,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular extrasystoles (Premature Atrial Contractions; Premature Nodal/Junctional Contractions)",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular extrasystoles (Premature Atrial Contractions; Premature Nodal/Junctional Contractions)",5,"Death"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular tachycardia",1,"Asymptomatic, intervention not indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular tachycardia",2,"Non-urgent medical intervention indicated"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular tachycardia",3,"Symptomatic and incompletely controlled medically, or controlled with device (e.g., pacemaker)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular tachycardia",4,"Life-threatening (e.g., arrhythmia associated with CHF, hypotension, syncope, shock)"
"CARDIAC ARRHYTHMIA","Supraventricular and nodal arrhythmia","Supraventricular tachycardia",5,"Death"
"CARDIAC ARRHYTHMIA","Vasovagal episode",,2,"Present without loss of consciousness"
