23-FEB-07
"NSC","Agent Name"
"370154","Anti-LEU 2a MoAb"
"377522","Anti-Osteogenic Sarcoma (791T/36) MoAb"
"361437","Antimelanoma monoclonal antibody (9.2.27/54)"
"648539","Antineoplaston A10"
"620261","Antineoplaston AS2-1"
"720095","Antithymocyte Globulin (Thymoglobulin; ATG Rabbit)"
"303812","Aphidicoline glycinate"
"704867","Apolizumab (Hu1D10; Remitogen)"
"406021","Arabinosyl-6-mercaptopurine (Ara-6MP)"
"744008","ArginMax"
"706363","Arsenic trioxide (Trisenox)"
"724910","Artemisinin dimer - hemisuccinate"
"742425","Artemisinin dimer - oxime"
"369397","Artemisinine"
"167780","Asaley"
"33832","Ascorbic Acid"
"720763","Atrasentan (ABT-627)"
"26671","Atropine Sulfate"
"727000","Autologous Dendritic Cells"
"725172","Autologous Epstein-Barr Virus-Specific Cytotoxic T Lymphocytes"
"727300","Autologous T-cells"
"102816","Azacitidine"
"68626","Azapicyl"
"67239","Azaribine"
"742","Azaserine"
"39084","Azathioprine (Imuran)"
"56654","Azotomycin"
"71261","B-TGdR"
"666059","B7-transfected melanoma cell vaccine"
"373362","B72.3 MoAb"
"66725","BA 17039"
"66797","BA 181314"
"724772","BAY 43-9006 tosylate (BAY 54-9085; sorafenib tosylate)"
"116341","BCG Vaccine (Connaught)"
"116328","BCG Vaccine (Pasteur)"
"614389","BCG vaccine (Connaught)"
"143769","BCG-MER"
"116327","BCG-TICE (Institute for TB Research-Univeristy of Illinois)"
"614388","BCG-TICE (Organon Teknika Corporation)"
"727584","BIM-46174"
"727823","BIM-46187"
"691237","BL22 Immunotoxin [RFB4(dsFv) - PE38]"
"710086","BMS 214662"
"710428","BMS 247550 (ixabepilone, Ixempra)"
"713763","BMS 275291 (MMPI)"
"732517","BMS-354825 (dasatinib, Sprycel)"
"716976","BNP7787"
"639829","BPU (Benzoylphenylurea)"
"51915","Ba 24648"
"325014","Bactobolin"
"320846","Batracylin (BAT)"
"689513","Bcl-Xs Adenovirus"
"706457","Benefin (Lane Shark Cartilage Powder)"
"37096","Benzodepa (AB-103)"
"710305","Benzothiazole (Phortress)"
"900000","Berzofsky RAS/P53 Peptides"
"613792","Beta-Fluoro-ddA (Lodenosine)"
"113090","Betulinic Acid"
"704865","Bevacizumab (rhuMAb VEGF)"
"741061","Bexarotene (Targretin)"
"357885","Biantrazole (DUP-941)"
"722665","Bicalutamide (Casodex)"
"717310","Biotope CD"
"724636","Biricodar dicitrate (VX-710)"
"337766","Bisantrene hydrochloride (CL 216,942)"
"615291","Bizelesin (U-77779)"
"125066","Bleomycin"
"66233","Bolasterone"
"656202","Breflate"
"38297","Bromodeoxyuridine (BUdR)"
"165563","Bruceantin"
"339555","Bryostatin"
"315851","Bupropion hydrochloride"
"725176","Buserelin acetate"
"750","Busulfan"
"609974","CAI"
"672683","CAP-1 (CEA peptide 9-MER)"
"672684","CAP-2 (CEA peptide 9-MER)"
"672685","CAP-3 (CEA peptide 9-MER)"
"241240","CARBOplatin"
"208107","CB 10-277"
"703813","CC-5013 (lenalidomide, Revlimid)"
"643715","CC49/218 sFv"
"683864","CCI-779 (temsirolimus, Torisel)"
"715640","CD34+ PBSC cultured with cytokines and human brain endothelial cells"
"711193","CDDO"
"743667","CDX-110"
"649204","CEA vaccine (baculovirus)"
"701524","CEA:571-579(576D) Peptide [CAP1-6D]"
"730428","CG8123 (GVAX lung cancer vaccine)"
"71837","CH-296 Fibronectin"
"741820","CHX-A DTPA-Trastuzumab"
"343499","CI-921"
"635371","CI-958"
"635370","CI-980 (mivobulin isethionate)"
"119875","CISplatin"
"672875","CM-101"
"716236","CMA-676"
"724373","CMV pp65:495-503 Peptide (CMV pp65 peptide; CMV N495)"
"740836","CNTO 328 (anti-IL-6 monoclonal antibody)"
"683551","COL-3 (Metastat)"
"724773","CT-2103"
"710084","CTL A4-Ig (RepliGen)"
"725280","Calcium carbonate"
"100880","Camptothecin sodium"
"712807","Capecitabine (Xeloda)"
"253272","Caracemide"
"19962","Carbestrol"
"51001","Carbomycin"
"641273","Carboxypeptidase G2 (CAMR)"
"732443","Carboxypeptidase G2 (glucarpidase; Voraxaze)"
"409962","Carmustine (BCNU)"
"180024","Carubicin"
"36539","Carzolamide"
"719682","CeaVac (3H1 IgG Anti-idiotype Monoclonal Antibody / Alu Gel)"
"719627","Celecoxib (Celebrex)"
"669356","Cemadotin (LU 103793)"
"720500","Ceramide"
"110435","Cesalin"
"714692","Cetuximab  (Erbitux; MoAb: C225 chimeric monoclonal antibody) (IMCLONE/BMS)"
"3088","Chlorambucil"
"339004","Chloroquinoxaline sulfonamide"
"178248","Chlorozotocin (DCNU)"
"629801","Cholera toxin"
"741420","Chromic phosphate P32 (Phosphocol P32)"
"58514","Chromomycin A3"
"742135","Cidofovir (Vistide)"
"620634","Ciprofloxacin"
"151466","Cis-clomiphene citrate (Clomid)"
"329310","Citalopram hydrobromide (Celexa)"
"105014","Cladribine (2-chloro-2-deoxyadenosine, 2-CdA)"
"618653","Clindamycin phosphate"
"713466","Clodronate (Bonefos)"
"606869","Clofarabine (Clolar)"
"79389","Clofibrate"
"338947","Clomesone"
"618652","Co-trimoxazole (Bactrim DS)"
"3096","Colcemide"
"18313","Conjugated Estrogen (Premarin)"
"725186","Contortrostatin"
"63984","Cordycepin"
"9705","Corticosteron"
"25933","Corticotropin (ACTH)"
"220537","Corynebacterium parvum (BW)"
"731581","CpG ODN 7909 Adjuvant (CpG Oligodeoxynucleotide; Promune)"
"8752","Creatine monohydrate"
"614385","Cremophor"
"80365","Cyanocobalamin (Vitatmin B12)"
"707961","Cyclocreatine"
"145668","Cyclocytidine hydrochloride"
"348948","Cyclodisone"
"375575","Cyclopentenyl cytosine"
"26271","Cyclophosphamide"
"290193","Cyclosporine"
"81430","Cyproterone acetate"
"63878","Cytarabine"
"104801","Cytembena (sodium bromebrate)"
"371331","Cytochlor"
"35750","D-Homotestosterone propionate"
"77037","D-Tetrandrine"
"719274","D1/3-Mage-3 Fusion Protein (SB MAGE-3)[Prot. D MAGE 3/His]"
"639186","D1694 (raltitrexed, Tomudex)"
"708298","DB-67"
"50857","DL-1-Aziridineethanol, .alpha.-vinyl-, acetate"
"90788","DL-alpha-Lipoic acid"
"251222","DL-amygdalin"
"62403","DL-tryptophan mustard"
"7365","DON"
"268390","DUP-785"
"45388","Dacarbazine"
"715173","Daclizumab (Zenapax, Humanized Anti-Tac, HAT, Humanized Anti-IL-2R)"
"271674","Dacplatinum"
"3053","Dactinomycin"
"714371","Dalteparin sodium (Fragmin)"
"270916","Danazol"
"6091","Dapsone"
"729969","Darbepoetin alfa (Aranesp)"
"82151","Daunorubicin"
"697732","Daunorubicin citrate liposome injection (DaunoXome)"
"127716","Decitabine (5-aza-2'-deoxycytidine)"
"644468","Deferoxamine mesylate"
"134454","Delta-9-tetrahydrocannabinol (THC; dronabinol)"
"714744","Denileukin diftitox (Ontak; DAB389IL-2)"
"744010","Denosumab"
"267469","Deoxydoxorubicin"
"356894","Deoxyspergualin"
"50164","Desmethylcolchicine"
"261036","Desmethylmisonidazole"
"671776","Detox"
"688197","Detox PC (Ribi Immunochem)"
"34521","Dexamethasone"
"169780","Dexrazoxane (Zinecard)"
"620255","Dextran sulfate"
"302357","Diamorphine hydrochloride"
"42722","Dianabol  (androsta-1,4-dien-3-one, 17.beta.-hydroxy-17.alpha.-methyl-)"
"182986","Diaziquone (AZQ)"
"94100","Dibromannitol"
"104800","Dibromodulcitol"
"126771","Dichloroallyl lawsone"
"29630","Dichloromethotrexate"
"325319","Didemnin B"
"98700","Dideoxyadenosine"
"606170","Dideoxycytidine"
"612049","Dideoxyinosine  (didanosine, Videx)"
"741423","Diethylhomospermine"
"3070","Diethylstilbestrol"
"118994","Diglycolaldehyde"
"264880","Dihydro-5-azacytidine (DHAC)"
"343513","Dihydrolenperone"
"127755","Dihydrotriazine benzenesulfoxyl fluoride(triazine antifol)"
"39069","Dihydroxymyleran (L-Threitol 1,4-dimethanesulfonate)"
"614387","Diluent 12"
"724578","Diluent for (161-180)ESO-1 Peptide (0.1% v/v TFA in Water for Injection)"
"5","Diluent for BCG-TICE"
"652019","Diluent for Hepsulfam"
"281612","Dimethane sulfonate"
"763","Dimethyl sulfoxide (DMSO)"
"45946","Dimethylstilbestrol  (4, 4'- (1,2-dimethyl-1,2-ethenediyl)bis(phenol) (E)-)"
"88536","Dimethyltestosterone"
"515776","Dipyridamole"
"628503","Docetaxel (Taxotere)"
"376128","Dolastatin-10"
"617668","Dolastatin-15"
"737535","Donepezil (Aricept)"
"123127","Doxorubicin hydrochloride"
"620212","Doxorubicin, liposome encapsulated (Liposome Company)"
"743514","Doxorubicin-eluting bead (Precision Bead)"
"741421","Doxycycline hyclate"
"26198","Dromostanolone"
"12198","Dromostanolone propionate"
"744012","Duloxetine hydrochloride"
"740477","Dutasteride (Avodart)"
"732084","E1M184V Peptide"
"707389","E7389 (Halichondrin B Analog)"
"686674","EF-1(EWS/FLI-1) peptide"
"688093","EF-2 (EWS-FLI -2) peptide"
"684681","EF-5"
"723674","EGFRvIII Peptide"
"729742","EKB-569"
"136955","EM-1421 (tetra-o-methyl nordihydroguaiaretic acid)"
"707544","EMD 121974 (Cilengitide)"
"704057","EPL Diluent"
"684363","EPO906 (epothilone B-Novartis)"
"683039","ERB-38"
"729232","ESO-1 Reactive Autologous Peripheral Blood Lymphocytes"
"729233","ESO-1 Reactive Autologous Tumor Infiltrating Lymphocytes"
"717388","ESO-1:157-165(165V) Peptide"
"688094","EWS/FLI-4 peptide"
"688095","EWS/FLI-8 peptide"
"526417","Echinomycin"
"648766","Ecteinascidin 743  (ET-743)"
"626715","Edatrexate"
"337250","Eflornithine (DFMO, Ornidyl)"
"23436","Elderfied pyrimidine mustard"
"7","Elliots B Solution"
"614386","Elliott's B Solution"
"264137","Elliptinium"
"33669","Emetine hydrochloride"
"139490","Emofolin sodium (5-MTHHF)"
"704805","Endostatin"
"687296","Eniluracil (GW776)"
"710026","Eniluracil / 5-FU Combination Tablet (GW776 / 5-FU)"
"728167","Enoxaprin (Lovenox)"
"726109","Enzastaurin hydrocloride (LY317615)"
"736507","EphA2:883-891 Peptide"
"256942","Epirubicin (Ellence)"
"724223","Epoetin alfa"
"716711","Epratuzumab (hLL2)"
"10971","Equilin"
"106977","Erwinia Asparaginase"
"35915","Erythritol aziridine"
"628281","Erythropoietin, recombinant human (Ortho Biotech)"
"112259","Estradiol mustard"
"89201","Estramustine"
"740195","Etanercept (Enbrel)"
"301467","Etanidazole (SR-2508)"
"84423","Ethidium chloride"
"10973","Ethinyl estradiol"
"741416","Ethiodized Oil Emulison 13 (EOE 13)"
"727255","Ethiodol"
"296961","Ethiofos (amifostine, WR-2721)"
"50908","Etiocholanolone"
"141540","Etoposide (VP-16)"
"134434","Etrenol"
"713563","Exemestane (Aromasin)"
"729477","Exherin (ADH-1)"
"719619","Exisulind (Aptosyn)"
"678515","FAU"
"727257","FGF-5:172-176 / 217-220 Peptide"
"630176","FK228 (Depsipeptide; Romidepsin)"
"696599","FLT3 Ligand (Immunex)"
"2","Fat emulsion"
"281272","Fazarabine"
"374551","Fenretinide (4-HPR)"
"731411","Ferumoxtran-10 (Combidex)"
"729745","Ferumoxytol"
"741485","Finasteride (Proscar)"
"347512","Flavone-8-acetic acid"
"649890","Flavopiridol (alvocidib)"
"719273","Flecainide"
"27640","Floxuridine (FUDR)"
"103805","Flucytosine"
"312887","Fludarabine phosphate"
"723398","Fluorine-18 2-Fluoro-2-deoxy-D-Glucose (18F-FDG)"
"743144","Fluorine-18 3'-deoxy-3'-fluorothymidine (18F-FLT)"
"743445","Fluorine-18 Fluoroestradiol (18F-FES)"
"742836","Fluorine-18 Fluoromisonidazole (18F-FMISO)"
"73754","Fluorodopan"
"36091","Fluorotestosterone"
"714457","Fluoxetine hydrochloride"
"12165","Fluoxymesterone"
"147834","Flutamide"
"3073","Folic Acid"
"313410","Foscarnet sodium (Foscavir)"
"339638","Fostriecin"
"725177","FrSh61 (MEA) VHL33 Peptide"
"719276","Fulvestrant (Faslodex)"
"720735","Fumagillin analog (PPI-2458)"
"614629","G-CSF (filgrastim, Amgen)"
"614371","G-CSF, recombinant human"
"683428","G3139 (oblimersen; Genasense)"
"729277","GCsamAPB (anti-gp100 TCR) Retroviral Vector-Transduced Autologous PBL"
"729276","GCsamAPB (anti-gp100 TCR) Retroviral Vector-Transduced Autologous TIL"
"617589","GM-CSF (Schering)"
"613795","GM-CSF (sargramostim, Leukine)"
"725959","GM-CSF DNA"
"708478","GM-CSF cDNA / gold (Plasmid Vector pWRG3218)"
"643496","GM-CSF, recombinant human (CSF 39300); Sandoz"
"622183","GM-CSF, recombinant human (Hoechst)"
"725532","GM2-KLH/QS-21"
"722929","GTI-2040"
"727989","GW572016 (lapatinib, Tykerb)"
"737754","GW786034 (pazopanib)"
"742194","Gabapentin (Neurontin)"
"734532","Galiximab (IDEC-114)"
"15200","Gallium Nitrate"
"716361","Ganciclovir"
"365633","Ganciclovir (DHPG)"
"613327","Gemcitabine hydrochloride"
"720568","Gemtuzumab ozogamicin (Mylotarg)"
"58221","Glutinosin (PA-124)"
"67195","Glycidyl methacrylate"
"606864","Goserelin acetate (Zoladex)"
"624336","Gossypol"
"715699","Green Tea Extract (polyphenon E)"
"1895","Guanazole"
"729746","HA22 Immunotoxin"
"694158","HER-2 / neu Peptide"
"620536","HIVAC-1e vaccine"
"618054","HIVGP160 vaccine"
"720802","HN-66000"
"673924","HPV 16 E6 peptide (HPV 16 E6:18-26)"
"673925","HPV 16 E7peptide (HPV 16 E7:12-20)"
"724909","HPV 16 L1-VLP"
"720092","HPV 18E6 (HPV 18 E6:13-21) Peptide"
"679904","HPV-16 E7/PADRE-965.10 lipopeptide"
"719248","HPV-16E7 (86-93) Peptide"
"57153","HR 2164"
"711007","HUM291 [Anti-CD3 antibody]"
"521778","Hadacidin sodium salt"
"722399","Haemophilus b Conjugate Vaccine (HibTITER)"
"713205","Halofuginone"
"725085","Heat Shock Protein-Peptide Complex (HSPPC-96)"
"145954","Heparin sodium"
"329680","Hepsulfam"
"95580","Hexamethylene bisacetamine (HMBA)"
"13875","Hexamethylmelamine"
"9894","Hexestrol"
"141633","Homoharringtonine"
"721298","Hu 14.18 / IL-2 Fusion Protein (EMD 273063)"
"719644","HuCC49DCH2-PA-DOTA"
"352291","Human Fibroblast (diploid) InterFERON"
"354655","Human Immune InterFERON gamma (Meloy)"
"335044","Human Leukocyte InterFERON (Meloy)"
"340855","Human Leukocyte InterFERON (Warner-Lambert)"
"339140","Human Lymphoblastoid InterFERON"
"142982","Hycanthone methanesulfonate"
"150014","Hydrazine sulfate"
"10483","Hydrocortisone"
"4375","Hydroxychloroquine sulfate (Plaquenil)"
"32065","Hydroxyurea"
"20262","Hypoxanthine"
"129943","ICRF-159 (razoxane)"
"722759","IL 13-PE38QQR"
"742460","IMC-A12 (HuMAb IGF-IR)"
"736512","IPI-609"
"726188","IPdR"
"719337","ISIS 3521 (CGP 64128A)"
"719336","ISIS 5132 (CGP 69846A)"
"718878","ISIS-2503"
"722623","Ibandronate sodium (Boniva)"
"256439","Idarubicin"
"109724","Ifosfamide"
"714597","Imexon"
"741062","Imiquimod (Aldara)"
"621996","Immune globulin IV, human"
"710085","In2B8/Y2B8 Radiolabeling Kit (Ibritumomab tiuxetan, Zevalin)"
"132319","Indicine N-oxide"
"697197","Indinavir sulfate (Crixivan)"
"741418","Indium-111 tositumomab (anti-B1 MoAb)"
"728729","Infliximab (Remicade)"
"719208","Influenza Virus Vaccine (Fluzone)"
"648120","Insulin like growth factor-1, recombinant human (rhIGF-1)"
"367982","InterFERON alpha-2A (Roferon)"
"658933","InterFERON beta, recombinant (Rebif); Serono"
"660166","InterFERON beta-1b, recombinant human (Betaseron)"
"609473","InterFERON gamma (Schering)"
"635256","InterFERON gamma, human (RU42369)"
"605606","InterFERON, human fibroblast (Mochida)"
"621381","InterLEUKIN-1 alpha (Dainippon)"
"640032","InterLEUKIN-1 alpha, recombinant human (Immunex)"
"647860","InterLEUKIN-1 beta, recombinant (Syntex)"
"740826","InterLEUKIN-1 beta, recombinant human (R&D Systems)"
"628282","InterLEUKIN-1 beta, recombinant human (Syntex)"
"672423","InterLEUKIN-12"
"364831","InterLEUKIN-2 (IL-2) Jurkat derived"
"600663","InterLEUKIN-2, Natural (Collaborative)"
"373364","InterLEUKIN-2, Recombinant (Chiron; Aldesleukin; Proleukin)"
"600664","InterLEUKIN-2, recombinant human (Roche)"
"623127","InterLEUKIN-3 (Hoechst)"
"641115","InterLEUKIN-3, recombinant human (SDZ ILE-964)"
"724986","InterLEUKIN-4 (Cell Genix / R&D Systems)"
"620211","InterLEUKIN-4 (IL-4)"
"618085","InterLEUKIN-4, recombinant human (Schering)"
"643497","InterLEUKIN-6, recombinant human (SDZ ILS 969) (Sandoz / R&D Systems)"
"658932","InterLEUKIN-6, recombinant human (Sigosix); Serono"
"614384","Intralipid"
"725174","Iodine 125"
"665990","Iodine-131 human serum albumin (HSA)"
"39661","Iododeoxyuridine (IUdR)"
"378901","Iododoxorubicin"
"349438","Ipomeanol"
"256927","Iproplatin (CHIP, JM-9)"
"616348","Irinotecan (CPT-11, Camptosar)"
"683863","Irofulven (MGI-114)"
"9659","Isoniazid (INH)"
"62709","Isopropylidine azastreptonigrin"
"40725","Isosorbide"
"734902","Isosulfan Blue (Lymphazurin)"
"53212","Isotic"
"329481","Isotretinoin (13-cis-retinoic acid, Accutane)"
"383507","Itraconazole"
"674780","K-ras Asp-12 mutant protein"
"676840","K-ras Asp-13 mutnat protein"
"674781","K-ras Cys-12 mutant protein"
"676841","K-ras Gly-12 mutant protein"
"674779","K-ras Val-12 mutant protein"
"651714","KNI-272"
"650426","KRN5500"
"646908","KW-2189"
"62773","Kanchanomycin"
"710270","Karenitecin"
"744013","Ketamine/amitriptyline (EpiCept-NP)"
"317629","Ketoconazole (Nizoral)"
"713762","Keyhole Limpet Hemocyanin"
"125428","Klucel"
"529469","L-Alanosine"
"153353","L-Alanosine (monosodium salt)"
"109229","L-Asparaginase"
"326231","L-Buthionine sulfoximine (BSO)"
"9239","L-Glutamic acid hydrochloride"
"27421","L-Glutamine"
"80774","L-Triiodothyronine"
"724226","L-selenomethionine (Selenium)"
"651311","LMB-1 immunotoxin"
"676422","LMB-2 [Anti-Tac(Fv)-PE-38]"
"658931","LMB-7 immunotoxin, single chain recombinant"
"691236","LMB-9 Immunotoxin"
"714373","LY 353381 hydrochloride"
"724318","Labradimil (Cereport)"
"691766","Lactobutyrin"
"719683","Lamivudine / Zidovudine (Combivir)"
"11905","Lapachol"
"677411","Leflunomide (SU101)"
"617807","Lestaurtinib"
"719345","Letrozole (Femara)"
"3590","Leucovorin calcium"
"377526","Leuprolide acetate"
"177023","Levamisole"
"741806","Levocarnitine (Carnitor)"
"331615","Levonantradol hydrochloride"
"744007","Levonorgestrel"
"712227","Liposomal Doxorubicin (Doxil)"
"715320","Liposomal cytarabine (DepoCyt)"
"732234","Liposome Encapsulated SN38 (LE-SN38)"
"683202","Lisofylline"
"741422","Lobaplatin"
"660025","Lometrexol"
"79037","Lomustine (CCNU)"
"741419","Lonidamine"
"696356","Loperamide"
"633781","Lovastatin"
"407322","Lycopene"
"743145","Lymphocyte Immune Globulin (Atgam; ATG Equine)"
"659770","Lymphoma IG vaccine-KLH"
"37725","Lynestrenol"
"382050","M-Azidopyrimethamine"
"658894","MAGE-1 melanoma vaccinia vaccine (MAGEVAC) contaminated with BVDV"
"715073","MAGE-12: 170-178 Peptide"
"731578","MAGE-3 Peptide (HLA-A1-restricted)"
"731577","MAGE-3 Peptide (HLA-B44-restricted)"
"666770","MAGE-3 melanoma peptide vaccine (CY-2010); Cytel"
"724849","MAGE-3: 271-279 Peptide"
"736508","MAGE-3:111-125 Peptide"
"736509","MAGE-3:146-160 Peptide"
"734954","MAGE-3:243-258 Peptide"
"709401","MART-1:26-35(27L) Peptide"
"672643","MART-1:27-35 Peptide"
"734955","MART-1:51-73 Peptide"
"678516","MAU"
"720801","MDX-010 (MDX-CTLA4; Hybridoma-derived)"
"732442","MDX-010 (MDX-CTLA4; Transfectoma-derived)"
"719850","MEDI-522 (Abegrin)"
"693240","MFG-S MOv18-gamma-IN Retroviral Vector"
"706744","MJ-III-66"
"726292","MLN 518"
"725776","MNR-1-38"
"724998","MNR-2-50"
"673412","MOv-gamma chimeric antibody"
"715698","MOv18 / MFG-S Retroviral Transduced Peripheral Blood Lymphocytes"
"706995","MS-275"
"733968","MSCV (MGMTP140K) Retroviral Vector-Transduced CD34+ Autologous PBSC"
"729279","MSGV1AIB (anti-MART-1 TCR) Retroviral Vector-Transduced Autologous PBL"
"729278","MSGV1AIB (anti-MART-1 TCR) Retroviral Vector-Transduced Autologous TIL"
